"('A', 'H')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('2', 'H')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('A', 'D')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('3', 'H')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('A', 'C')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('2', 'D')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('4', 'H')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('A', 'S')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('2', 'C')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('5', 'H')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('3', 'D')","[450, 450]","[255 255 255 ...,   0 255 255]"
"('9', 'H')","[450, 450]","[255 255 255 ...,   0 255 255]"
"('6', 'H')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('2', 'S')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('10', 'H')","[450, 450]","[255 255 255 ...,   0 255 255]"
"('7', 'H')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('4', 'D')","[450, 450]","[255 255 255 ...,   0 255 255]"
"('J', 'H')","[450, 450]","[255 255   0 ...,   0 255 255]"
"('3', 'C')","[450, 450]","[255 255   0 ...,   0 255 255]"
"('Q', 'H')","[450, 450]","[255 255   0 ...,   0 255 255]"
"('K', 'H')","[450, 450]","[  0   0   0 ..., 255 255 255]"
"('5', 'D')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('8', 'H')","[450, 450]","[255 255   0 ...,   0 255 255]"
"('9', 'D')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('3', 'S')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('4', 'C')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('6', 'D')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('10', 'D')","[450, 450]","[255 255   0 ...,   0 255 255]"
"('7', 'D')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('J', '*')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('8', 'D')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('J', 'D')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('5', 'C')","[450, 450]","[255 255 255 ...,   0 255 255]"
"('K', 'D')","[450, 450]","[255 255   0 ..., 255 255 255]"
"('4', 'S')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('Q', 'D')","[450, 450]","[255 255 255 ...,   0 255 255]"
"('9', 'C')","[450, 450]","[255 255 255 ...,   0   0   0]"
"('J', '*')","[450, 450]","[255 255   0 ..., 255 255 255]"
"('6', 'C')","[450, 450]","[255 255   0 ...,   0   0   0]"
"('10', 'C')","[450, 450]","[255 255 255 ...,   0 255 255]"
"('7', 'C')","[450, 450]","[255 255   0 ...,   0 255 255]"
"('5', 'S')","[450, 450]","[255 255 255 ..., 255 255 255]"
"('8', 'C')","[450, 450]","[255 255   0 ...,   0 255 255]"
"('9', 'S')","[450, 450]","[255 255 255 ...,   0 255 255]"
"('K', 'C')","[450, 450]","[255 255   0 ...,   0 255 255]"
"('J', 'C')","[450, 450]","[255 255   0 ...,   0 255 255]"
"('6', 'S')","[450, 450]","[255 255 255 ...,   0 255 255]"
"('Q', 'C')","[450, 450]","[255 255   0 ...,   0 255 255]"
"('*', '*')","[450, 450]","[  0 255   0 ...,   0   0 255]"
"('10', 'S')","[450, 450]","[255 255 255 ...,   0 255 255]"
"('7', 'S')","[450, 450]","[255 255 255 ...,   0 255 255]"
"('J', 'S')","[450, 450]","[  0   0   0 ...,   0 255 255]"
"('Q', 'S')","[450, 450]","[255 255   0 ...,   0 255 255]"
"('K', 'S')","[450, 450]","[  0   0   0 ...,   0 255 255]"
"('8', 'S')","[450, 450]","[255 255 255 ...,   0 255 255]"
"('*', '*')","[450, 450]","[0 0 0 ..., 0 0 0]"
